Vg	absId	absIg	absIs	Vd	Ig	Id
-11.5	2.67983E-06	2.6689E-09	2.68614E-06	-40	-2.6689E-09	-2.67983E-06
-12	3.09981E-06	3.9212E-09	3.10881E-06	-40	-3.9212E-09	-3.09981E-06
-12.5	3.56481E-06	4.4602E-09	3.57539E-06	-40	-4.4602E-09	-3.56481E-06
-13	4.06973E-06	4.8715E-09	4.08138E-06	-40	-4.8715E-09	-4.06973E-06
-13.5	4.6174E-06	5.2159E-09	4.63009E-06	-40	-5.2159E-09	-4.6174E-06
-14	5.20501E-06	5.5091E-09	5.21862E-06	-40	-5.5091E-09	-5.20501E-06
-14.5	5.83634E-06	5.7274E-09	5.85085E-06	-40	-5.7274E-09	-5.83634E-06
-15	6.50814E-06	5.9448E-09	6.52347E-06	-40	-5.9448E-09	-6.50814E-06
-15.5	7.21855E-06	6.8951E-09	7.23621E-06	-40	-6.8951E-09	-7.21855E-06
-16	7.97673E-06	6.8144E-09	7.99458E-06	-40	-6.8144E-09	-7.97673E-06
-16.5	8.7751E-06	7.8121E-09	8.79523E-06	-40	-7.8121E-09	-8.7751E-06
-17	9.62286E-06	7.9946E-09	9.64358E-06	-40	-7.9946E-09	-9.62286E-06
-17.5	1.050773E-05	8.9611E-09	1.053056E-05	-40	-8.9611E-09	-1.050773E-05
-18	1.144177E-05	9.5751E-09	1.146609E-05	-40	-9.5751E-09	-1.144177E-05
-18.5	1.24459E-05	8.558E-09	1.24688E-05	-40	-8.558E-09	-1.24459E-05
-19	1.34652E-05	1.02455E-08	1.34899E-05	-40	-1.02455E-08	-1.34652E-05
-19.5	1.45305E-05	1.09743E-08	1.45576E-05	-40	-1.09743E-08	-1.45305E-05
-20	1.56479E-05	1.14602E-08	1.56763E-05	-40	-1.14602E-08	-1.56479E-05
-20.5	1.6809E-05	1.18772E-08	1.68391E-05	-40	-1.18772E-08	-1.6809E-05
-21	1.80224E-05	1.22413E-08	1.80535E-05	-40	-1.22413E-08	-1.80224E-05
-21.5	1.92836E-05	1.2546E-08	1.9316E-05	-40	-1.2546E-08	-1.92836E-05
-22	2.05894E-05	1.26395E-08	2.06227E-05	-40	-1.26395E-08	-2.05894E-05
-22.5	2.19475E-05	1.26322E-08	2.19818E-05	-40	-1.26322E-08	-2.19475E-05
