Vg	absId	absIg	absIs	Vd	Ig	Id
-22.5	1.053795E-05	1.31385E-08	1.055908E-05	-5	-1.31385E-08	-1.053795E-05
-23	1.09739E-05	1.34024E-08	1.099544E-05	-5	-1.34024E-08	-1.09739E-05
-23.5	1.141386E-05	1.36827E-08	1.143571E-05	-5	-1.36827E-08	-1.141386E-05
-24	1.18663E-05	1.21973E-08	1.18869E-05	-5	-1.21973E-08	-1.18663E-05
-24.5	1.23092E-05	1.36456E-08	1.23302E-05	-5	-1.36456E-08	-1.23092E-05
-25	1.27545E-05	1.39807E-08	1.27761E-05	-5	-1.39807E-08	-1.27545E-05
-25.5	1.32045E-05	1.42398E-08	1.32266E-05	-5	-1.42398E-08	-1.32045E-05
-26	1.3656E-05	1.44614E-08	1.36782E-05	-5	-1.44614E-08	-1.3656E-05
-26.5	1.41117E-05	1.47972E-08	1.41343E-05	-5	-1.47972E-08	-1.41117E-05
-27	1.45686E-05	1.49981E-08	1.45917E-05	-5	-1.49981E-08	-1.45686E-05
-27.5	1.50296E-05	1.52445E-08	1.5053E-05	-5	-1.52445E-08	-1.50296E-05
-28	1.54935E-05	1.55309E-08	1.55173E-05	-5	-1.55309E-08	-1.54935E-05
-28.5	1.5959E-05	1.58635E-08	1.5983E-05	-5	-1.58635E-08	-1.5959E-05
-29	1.64281E-05	1.60192E-08	1.64524E-05	-5	-1.60192E-08	-1.64281E-05
-29.5	1.6899E-05	1.62953E-08	1.69237E-05	-5	-1.62953E-08	-1.6899E-05
-30	1.73733E-05	1.68663E-08	1.73992E-05	-5	-1.68663E-08	-1.73733E-05
-30.5	1.78504E-05	1.72452E-08	1.78763E-05	-5	-1.72452E-08	-1.78504E-05
-31	1.83305E-05	1.76068E-08	1.8357E-05	-5	-1.76068E-08	-1.83305E-05
-31.5	1.88144E-05	1.77416E-08	1.88414E-05	-5	-1.77416E-08	-1.88144E-05
-32	1.92993E-05	1.82174E-08	1.9327E-05	-5	-1.82174E-08	-1.92993E-05
-32.5	1.97878E-05	1.87519E-08	1.98157E-05	-5	-1.87519E-08	-1.97878E-05
-33	2.02803E-05	1.91567E-08	2.0309E-05	-5	-1.91567E-08	-2.02803E-05
-33.5	2.07739E-05	1.97984E-08	2.08037E-05	-5	-1.97984E-08	-2.07739E-05
-34	2.12705E-05	2.06038E-08	2.13013E-05	-5	-2.06038E-08	-2.12705E-05
-34.5	2.17716E-05	2.17137E-08	2.18036E-05	-5	-2.17137E-08	-2.17716E-05
-35	2.22737E-05	2.32326E-08	2.23069E-05	-5	-2.32326E-08	-2.22737E-05
-35.5	2.27784E-05	2.48161E-08	2.28143E-05	-5	-2.48161E-08	-2.27784E-05
-36	2.32882E-05	2.69978E-08	2.33263E-05	-5	-2.69978E-08	-2.32882E-05
-36.5	2.37996E-05	2.94444E-08	2.384E-05	-5	-2.94444E-08	-2.37996E-05
-37	2.43143E-05	3.23679E-08	2.43571E-05	-5	-3.23679E-08	-2.43143E-05
-37.5	2.48328E-05	3.45221E-08	2.48789E-05	-5	-3.45221E-08	-2.48328E-05
-38	2.53535E-05	3.72603E-08	2.54021E-05	-5	-3.72603E-08	-2.53535E-05
-38.5	2.58789E-05	3.9685E-08	2.59296E-05	-5	-3.9685E-08	-2.58789E-05
-39	2.64049E-05	4.22556E-08	2.64591E-05	-5	-4.22556E-08	-2.64049E-05
-39.5	2.69357E-05	4.57137E-08	2.69928E-05	-5	-4.57137E-08	-2.69357E-05
-40	2.74699E-05	4.88417E-08	2.75306E-05	-5	-4.88417E-08	-2.74699E-05
-40	2.75131E-05	4.48686E-08	2.7568E-05	-5	-4.48686E-08	-2.75131E-05
-39.5	2.70588E-05	3.72355E-08	2.71013E-05	-5	-3.72355E-08	-2.70588E-05
-39	2.65879E-05	3.29762E-08	2.66243E-05	-5	-3.29762E-08	-2.65879E-05
-38.5	2.61119E-05	3.13312E-08	2.61437E-05	-5	-3.13312E-08	-2.61119E-05
-38	2.56314E-05	2.83604E-08	2.56597E-05	-5	-2.83604E-08	-2.56314E-05
-37.5	2.51511E-05	2.55999E-08	2.51752E-05	-5	-2.55999E-08	-2.51511E-05
-37	2.46672E-05	2.35709E-08	2.46886E-05	-5	-2.35709E-08	-2.46672E-05
-36.5	2.41852E-05	2.11529E-08	2.42036E-05	-5	-2.11529E-08	-2.41852E-05
-36	2.37031E-05	1.93619E-08	2.37188E-05	-5	-1.93619E-08	-2.37031E-05
-35.5	2.32201E-05	1.77054E-08	2.32337E-05	-5	-1.77054E-08	-2.32201E-05
-35	2.27397E-05	1.59063E-08	2.27505E-05	-5	-1.59063E-08	-2.27397E-05
-34.5	2.22606E-05	1.45153E-08	2.22702E-05	-5	-1.45153E-08	-2.22606E-05
-34	2.17808E-05	1.28937E-08	2.1788E-05	-5	-1.28937E-08	-2.17808E-05
-33.5	2.1302E-05	1.20128E-08	2.13084E-05	-5	-1.20128E-08	-2.1302E-05
-33	2.08265E-05	1.0322E-08	2.08307E-05	-5	-1.0322E-08	-2.08265E-05
-32.5	2.03487E-05	9.7544E-09	2.0352E-05	-5	-9.7544E-09	-2.03487E-05
-32	1.98783E-05	7.4968E-09	1.98797E-05	-5	-7.4968E-09	-1.98783E-05
-31.5	1.93774E-05	1.0978E-08	1.93843E-05	-5	-1.0978E-08	-1.93774E-05
-31	1.89175E-05	7.8039E-09	1.89199E-05	-5	-7.8039E-09	-1.89175E-05
-30.5	1.84285E-05	9.4507E-09	1.84338E-05	-5	-9.4507E-09	-1.84285E-05
-30	1.79753E-05	6.4024E-09	1.79762E-05	-5	-6.4024E-09	-1.79753E-05
-29.5	1.74925E-05	7.7579E-09	1.74959E-05	-5	-7.7579E-09	-1.74925E-05
-29	1.70446E-05	4.7954E-09	1.7044E-05	-5	-4.7954E-09	-1.70446E-05
-28.5	1.65906E-05	3.7043E-09	1.65882E-05	-5	-3.7043E-09	-1.65906E-05
-28	1.61117E-05	5.6732E-09	1.61126E-05	-5	-5.6732E-09	-1.61117E-05
-27.5	1.5645E-05	5.3924E-09	1.56463E-05	-5	-5.3924E-09	-1.5645E-05
-27	1.52071E-05	1.8726E-09	1.52035E-05	-5	-1.8726E-09	-1.52071E-05
-26.5	1.47628E-05	1.6069E-09	1.47581E-05	-5	-1.6069E-09	-1.47628E-05
-26	1.43217E-05	1.431E-10	1.43146E-05	-5	1.431E-10	-1.43217E-05
-25.5	1.38743E-05	8.0813E-10	1.38683E-05	-5	-8.0813E-10	-1.38743E-05
-25	1.34248E-05	1.09518E-09	1.34194E-05	-5	-1.09518E-09	-1.34248E-05
-24.5	1.29805E-05	9.0012E-10	1.29751E-05	-5	-9.0012E-10	-1.29805E-05
-24	1.25386E-05	6.2981E-10	1.25327E-05	-5	-6.2981E-10	-1.25386E-05
-23.5	1.20997E-05	4.276E-10	1.20938E-05	-5	-4.276E-10	-1.20997E-05
-23	1.16625E-05	1.5244E-10	1.16562E-05	-5	-1.5244E-10	-1.16625E-05
-22.5	1.12315E-05	4.298E-10	1.12245E-05	-5	4.298E-10	-1.12315E-05
-22	1.08063E-05	1.4857E-09	1.07974E-05	-5	1.4857E-09	-1.08063E-05
-21.5	1.03792E-05	1.37586E-09	1.03707E-05	-5	1.37586E-09	-1.03792E-05
-21	9.94695E-06	1.09521E-09	9.93892E-06	-5	1.09521E-09	-9.94695E-06
-20.5	9.52073E-06	1.12338E-09	9.51351E-06	-5	1.12338E-09	-9.52073E-06
-20	9.10207E-06	1.6154E-09	9.09422E-06	-5	1.6154E-09	-9.10207E-06
-19.5	8.6937E-06	3.501E-09	8.6833E-06	-5	3.501E-09	-8.6937E-06
-19	8.28131E-06	2.9839E-09	8.27121E-06	-5	2.9839E-09	-8.28131E-06
-18.5	7.87207E-06	3.2594E-09	7.86158E-06	-5	3.2594E-09	-7.87207E-06
-18	7.46666E-06	3.4592E-09	7.45585E-06	-5	3.4592E-09	-7.46666E-06
-17.5	7.06295E-06	3.5718E-09	7.05194E-06	-5	3.5718E-09	-7.06295E-06
-17	6.66442E-06	3.7764E-09	6.65309E-06	-5	3.7764E-09	-6.66442E-06
-16.5	6.26876E-06	3.9779E-09	6.25725E-06	-5	3.9779E-09	-6.26876E-06
-16	5.87687E-06	4.0557E-09	5.86522E-06	-5	4.0557E-09	-5.87687E-06
-15.5	5.49109E-06	4.1473E-09	5.47929E-06	-5	4.1473E-09	-5.49109E-06
-15	5.10535E-06	3.76566E-09	5.09425E-06	-5	3.76566E-09	-5.10535E-06
-14.5	4.72518E-06	3.607E-09	4.71458E-06	-5	3.607E-09	-4.72518E-06
-14	4.35823E-06	4.2563E-09	4.34662E-06	-5	4.2563E-09	-4.35823E-06
-13.5	3.99716E-06	4.2954E-09	3.98542E-06	-5	4.2954E-09	-3.99716E-06
-13	3.64283E-06	4.3647E-09	3.63114E-06	-5	4.3647E-09	-3.64283E-06
-12.5	3.29888E-06	4.4896E-09	3.287E-06	-5	4.4896E-09	-3.29888E-06
-12	2.96714E-06	5.0671E-09	2.9546E-06	-5	5.0671E-09	-2.96714E-06
-11.5	2.64337E-06	4.6626E-09	2.63143E-06	-5	4.6626E-09	-2.64337E-06
